,sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossings
3022,SCRTUSDT,BUSDUSDT,0.0,-4.74,-3.34,0.29,0
3021,SCRTUSDT,CHZUSDT,0.04,-3.45,-3.34,4.36,0
3020,SCRTUSDT,DENTUSDT,0.01,-3.81,-3.34,425.54,0
3019,SCRTUSDT,WINUSDT,0.01,-3.78,-3.34,4526.67,0
2994,LOKAUSDT,THETAUSDT,0.05,-3.35,-3.34,0.31,0
2995,LOKAUSDT,MATICUSDT,0.03,-3.52,-3.34,0.35,0
2996,LOKAUSDT,FTMUSDT,0.05,-3.36,-3.34,0.97,0
2997,LOKAUSDT,ALGOUSDT,0.05,-3.35,-3.34,2.07,0
2998,LOKAUSDT,WINUSDT,0.01,-4.0,-3.34,3264.77,0
2999,LOKAUSDT,COSUSDT,0.05,-3.35,-3.34,44.16,0
3000,LOKAUSDT,DENTUSDT,0.02,-3.68,-3.34,307.06,0
3001,LOKAUSDT,FUNUSDT,0.0,-4.24,-3.34,46.87,0
3002,LOKAUSDT,CHZUSDT,0.02,-3.75,-3.34,3.15,0
3003,LOKAUSDT,BUSDUSDT,0.0,-4.29,-3.34,0.21,0
3004,LOKAUSDT,RVNUSDT,0.02,-3.64,-3.34,12.88,0
3005,LOKAUSDT,KAVAUSDT,0.04,-3.38,-3.34,0.29,0
3006,LOKAUSDT,VITEUSDT,0.01,-4.1,-3.34,16.71,0
3007,LOKAUSDT,LTOUSDT,0.02,-3.7,-3.34,3.58,0
3008,LOKAUSDT,MBLUSDT,0.01,-3.92,-3.34,71.75,0
3009,LOKAUSDT,LRCUSDT,0.03,-3.59,-3.34,1.07,0
3010,LOKAUSDT,BALUSDT,0.01,-3.86,-3.34,0.06,0
3011,LOKAUSDT,USDTDAI,0.01,-4.04,-3.34,0.21,0
3012,LOKAUSDT,CRVUSDT,0.01,-3.98,-3.34,0.41,0
3013,LOKAUSDT,SANDUSDT,0.04,-3.41,-3.34,0.6,0
3014,LOKAUSDT,LUNAUSDT,0.01,-3.91,-3.34,0.45,0
3015,LOKAUSDT,WNXMUSDT,0.02,-3.62,-3.34,0.01,0
3016,SCRTUSDT,TUSDUSDT,0.0,-4.24,-3.34,0.29,0
3017,SCRTUSDT,USDCUSDT,0.0,-4.41,-3.34,0.29,0
3018,SCRTUSDT,OMGUSDT,0.02,-3.75,-3.34,0.58,0
3169,STEEMUSDT,ONTUSDT,0.01,-3.86,-3.34,0.98,0
3170,STEEMUSDT,ICXUSDT,0.02,-3.71,-3.34,0.92,0
3171,STEEMUSDT,WAVESUSDT,0.04,-3.41,-3.34,0.1,0
3339,POLYXUSDT,DREPUSDT,0.01,-3.99,-3.34,0.48,0
3327,POLYXUSDT,XMRUSDT,0.01,-4.05,-3.34,0.0,0
3328,POLYXUSDT,ZECUSDT,0.0,-4.13,-3.34,0.0,0
3329,POLYXUSDT,IOSTUSDT,0.01,-3.77,-3.34,15.04,0
3330,POLYXUSDT,CELRUSDT,0.04,-3.44,-3.34,9.24,0
3331,POLYXUSDT,TFUELUSDT,0.02,-3.75,-3.34,3.27,0
3332,POLYXUSDT,COSUSDT,0.01,-3.91,-3.34,24.43,0
3333,POLYXUSDT,PERLUSDT,0.03,-3.5,-3.34,7.47,0
3334,POLYXUSDT,FUNUSDT,0.03,-3.5,-3.34,25.9,0
3335,POLYXUSDT,CVCUSDT,0.0,-4.32,-3.34,1.52,0
3336,POLYXUSDT,BUSDUSDT,0.02,-3.73,-3.34,0.11,0
3337,POLYXUSDT,RENUSDT,0.02,-3.74,-3.34,2.27,0
3338,POLYXUSDT,CTXCUSDT,0.01,-3.96,-3.34,0.9,0
3340,POLYXUSDT,LSKUSDT,0.0,-5.41,-3.34,0.15,0
3325,POLYXUSDT,ZRXUSDT,0.01,-3.81,-3.34,0.61,0
3341,POLYXUSDT,LTOUSDT,0.04,-3.4,-3.34,1.98,0
3342,POLYXUSDT,MBLUSDT,0.01,-4.04,-3.34,39.64,0
3343,POLYXUSDT,HIVEUSDT,0.0,-5.04,-3.34,0.38,0
3344,POLYXUSDT,ARDRUSDT,0.0,-5.21,-3.34,1.74,0
3345,POLYXUSDT,KNCUSDT,0.03,-3.51,-3.34,0.2,0
